time (seconds),weight (kg)
17.6667060852,32.952
17.9062509537,32.952
17.9065260887,33.007
17.9067921638,33.173
17.9070551395,33.423
18.1350691319,33.534
18.1353690624,33.589
18.1356840134,33.672
18.1359541416,33.728
18.3661050797,33.728
18.3663849831,33.644
18.3666479588,33.783
18.6448271275,33.977
18.645097971,34.032
18.6453621387,34.115
18.6456229687,34.254
18.645884037,34.42
18.8855659962,34.393
18.8858389854,34.448
18.8861031532,34.559
19.1265721321,34.614
19.1268429756,34.642
19.1271059513,34.642
19.1273679733,34.781
19.378839016,34.947
19.3791091442,34.975
19.3793711662,35.03
19.3796319962,35.196
19.6379859447,35.335
19.6382570267,35.335
19.6385190487,35.252
19.638780117,35.252
19.896212101,35.307
19.8965849876,35.307
19.8969049454,35.363
19.8972001076,35.529
20.150578022,35.723
20.1508491039,35.861
20.1511111259,35.834
20.1513719559,35.917
20.4000611305,35.917
20.4003331661,35.945
20.4005961418,35.917
20.4008569717,36.028
20.6488540173,36.055
20.6492049694,36.0
20.649533987,35.945
20.649848938,35.972
20.8818650246,36.111
20.8822829723,36.194
20.8826811314,36.333
20.8830471039,36.527
21.1153440475,36.582
21.1157081127,36.637
21.1160271168,36.61
21.1163749695,36.693
21.3495380878,36.693
21.3498930931,36.721
21.3502781391,36.748
21.5807111263,36.776
21.5809891224,36.748
21.5813190937,36.721
21.5817410946,36.748
21.8183701038,36.804
21.8189649582,36.998
21.8198111057,37.136
21.8203091621,37.33
22.0515890121,37.358
22.0519659519,37.497
22.0523121357,37.58
22.2816560268,37.663
22.2819290161,37.774
22.2821929455,37.746
22.2824699879,37.718
22.5152490139,37.691
22.5155210495,37.774
22.5157840252,37.857
22.5160450935,37.968
22.7459249496,38.134
22.7461969852,38.189
22.7464599609,38.189
22.9885721207,38.3
22.9889819622,38.383
22.9893190861,38.439
22.9896581173,38.467
23.2212569714,38.494
23.2216031551,38.439
23.221927166,38.439
23.2222480774,38.439
23.4538321495,38.55
23.4542150497,38.605
23.4545969963,38.716
23.4550220966,38.855
23.6869010925,38.855
23.6872911453,38.91
23.6877551079,39.049
23.9486980438,39.159
23.9490721226,39.215
23.949447155,39.187
23.9499180317,39.132
24.2142071724,39.104
24.2144811153,39.104
24.2147450447,39.159
24.2150070667,39.298
24.2152681351,39.52
24.4555950165,39.658
24.4558751583,39.658
24.4561369419,39.714
24.45916605,39.769
24.693789959,39.825
24.6941730976,39.852
24.6945061684,38.051
24.9284470081,37.912
