time (seconds),weight (kg)
33.3037390709,29.432
33.3040111065,29.376
33.3042809963,29.266
33.5156371593,29.238
33.5159151554,29.349
33.5161850452,29.46
33.7372341156,29.543
33.7375130653,29.654
33.7377841473,29.792
33.7380540371,29.875
33.9521410465,29.986
33.9524199963,29.986
33.9526910782,30.014
34.1709780693,29.986
34.1712591648,30.014
34.171530962,30.014
34.1718020439,30.069
34.3863720894,30.042
34.3866519928,30.069
34.3869211674,30.125
34.6021361351,30.152
34.6024141312,30.291
34.6026830673,30.43
34.6030271053,30.54
34.8195421696,30.596
34.8198211193,30.651
34.8200931549,30.679
35.0365681648,30.762
35.0369429588,30.79
35.03729105,30.818
35.0376470089,30.845
35.2826111317,30.984
35.2828900814,31.095
35.283162117,31.206
35.2834300995,31.289
35.4973220825,31.372
35.4976029396,31.455
35.4978740215,31.483
35.7141230106,31.566
35.7144081593,31.538
35.7146780491,31.538
35.7149469852,31.51
35.9319989681,31.594
35.9322781563,31.677
35.9325489998,31.76
36.1466269493,31.871
36.1469049454,31.898
36.147176981,31.926
36.1474461555,32.065
36.364659071,32.148
36.3649389744,32.176
36.3652100563,32.148
36.5822269917,32.203
36.5825080872,32.231
36.5827770233,32.203
36.5830471516,32.176
36.8045151234,32.259
36.8048901558,32.453
36.8052060604,32.508
36.805478096,32.591
37.0630481243,32.73
37.0633261204,32.841
37.0635969639,32.924
37.0638670921,32.952
37.273373127,32.952
37.2737281322,32.952
37.2742381096,32.979
37.4847710133,33.09
37.4850850105,33.118
37.4853610992,33.312
37.4856300354,33.45
37.6988699436,33.589
37.6991479397,33.672
37.6994180679,33.728
37.9154200554,33.783
37.9156999588,33.811
37.9159710407,33.838
38.1357090473,33.811
38.1359889507,33.894
38.1362609863,34.005
38.1365301609,34.06
38.3529961109,34.115
38.3532960415,34.226
38.3535909653,34.282
38.3538610935,34.365
38.5686919689,34.393
38.5689721107,34.42
38.5692420006,34.42
38.7906141281,34.365
38.7908930779,34.42
38.7911641598,34.503
38.7914330959,34.642
39.0083651543,34.753
39.0086450577,34.891
39.0089161396,34.947
39.22428298,35.002
39.2245650291,35.113
39.2248361111,35.224
39.2251040936,35.224
39.4400441647,35.252
39.4403240681,35.279
39.4405939579,35.335
39.6558279991,35.418
39.6561081409,35.529
39.6563801765,35.667
39.6566500664,35.778
39.8729610443,35.778
39.873239994,35.834
39.873511076,35.945
40.0884580612,36.028
40.088737011,36.028
40.0890059471,36.028
40.0892760754,36.055
40.304213047,36.139
40.3044929504,36.277
40.304764986,36.388
40.5211110115,36.471
40.5213899612,36.554
40.5216600895,36.61
40.521928072,36.665
40.7394659519,36.804
40.7397451401,36.804
40.7400150299,36.804
40.9566471577,36.804
40.9569261074,36.776
40.9571959972,36.831
40.9574661255,36.915
41.1732611656,37.081
41.1735401154,37.164
41.1738109589,37.275
41.3901760578,37.386
41.3905739784,37.441
41.390925169,37.552
41.3912739754,37.552
41.6044690609,37.58
41.6048369408,37.552
41.6053349972,37.497
41.8246731758,37.552
41.8250961304,37.718
41.8254470825,37.801
41.8257780075,37.912
42.0417361259,37.912
42.0421581268,37.968
42.0425150394,37.995
42.2585511208,38.106
42.2589001656,38.106
42.2592451572,38.106
42.25958395,38.106
42.4735250473,38.106
42.4739079475,38.134
42.4744529724,38.189
42.686150074,38.217
42.6864299774,38.3
42.6867501736,38.439
42.6870191097,38.467
42.901004076,38.522
42.9012839794,38.688
42.9015550613,38.799
43.11500597,38.799
43.1152920723,38.855
43.1155719757,38.855
43.3299021721,38.91
43.3303191662,38.938
43.3306910992,38.938
43.3310461044,39.104
43.5405061245,39.298
43.5407860279,39.326
43.5410571098,39.326
43.7606420517,39.437
43.7609231472,39.437
43.7611961365,39.547
43.7614691257,39.603
43.9770619869,39.575
43.9773430824,39.575
43.9776141644,39.575
44.1944320202,39.575
44.1947131157,39.603
44.194986105,39.714
44.1952569485,39.852
44.4148859978,40.018
44.4152240753,40.102
44.415528059,40.185
44.6314351559,40.24
44.6317880154,40.296
44.6321020126,40.379
44.6324019432,40.434
44.84674716,40.49
44.847028017,40.434
44.8473000526,40.406
45.0656831264,40.406
45.0659639835,40.517
45.0664441586,40.656
45.0668261051,40.739
45.2860090733,40.822
45.2864160538,40.905
45.2867500782,40.905
45.5032610893,40.988
45.5036389828,41.044
45.5039839745,41.099
45.504322052,41.044
45.72006917,41.072
45.7206940651,41.016
45.7213139534,41.044
45.9324650764,41.099
45.9327440262,41.155
45.9330151081,41.266
45.9332859516,41.376
46.1508100033,41.487
46.1510910988,41.543
46.1513650417,41.654
46.3660991192,41.681
46.3663790226,41.792
46.3666501045,41.848
46.3669190407,41.848
46.5809290409,41.903
46.5812101364,41.986
46.5814809799,42.069
46.7948591709,42.208
46.7951381207,42.291
46.7954080105,42.374
46.7956769466,42.43
